[info]
title=Bridge over Angry Gearbots
par=3
hint=Make a bridge to keep Junkbot off the bottom.  Watch the ceiling - Junkbot can't climb if there isn't room.


[background]
backdrop=bkg3
decals=233;246;word_danger,84;361;computer_matrix,151;361;computer2dial
decals=430;183;terminal_1dial,429;77;terminal_chart,486;75;fusebox_pipes_d
decals=138;43;window,102;43;window


[playfield]
size=35,22
spacing=15,18
scale=1


[partslist]
types=BLOCK01,BLOCK02,MINIFIG,BRICK_06,BRICK_04,flag,haz_walker
types=BRICK_02,BRICK_01,BRICK_03,BRICK_08
colors=GRAY,blue
parts=2;11;3;1;WALK_R;1;,1;12;4;1;0;0;,4;13;5;1;0;0;,5;14;5;1;0;0;
parts=6;15;5;1;0;0;,7;16;5;1;0;0;,10;17;4;1;0;0;,16;17;4;1;0;0;
parts=14;18;5;1;0;0;,14;19;5;1;0;0;,14;20;5;1;0;0;,14;21;5;1;0;0;
parts=14;22;5;1;0;0;,21;16;5;1;0;0;,22;15;5;1;0;0;,23;14;5;1;0;0;
parts=24;13;5;1;0;0;,25;12;5;1;0;0;,29;12;4;1;0;0;,32;11;6;2;0;0;
parts=18;16;7;2;walk_l;1;,13;16;7;2;walk_l;1;,1;13;8;1;0;0;,1;14;8;1;0;0;
parts=1;15;8;1;0;0;,1;16;8;1;0;0;,1;17;8;1;0;0;,1;18;8;1;0;0;
parts=1;19;8;1;0;0;,1;20;8;1;0;0;,1;21;8;1;0;0;,1;22;8;1;0;0;
parts=33;13;8;1;0;0;,33;14;8;1;0;0;,33;15;8;1;0;0;,33;16;8;1;0;0;
parts=33;17;8;1;0;0;,33;18;8;1;0;0;,33;19;8;1;0;0;,33;21;8;1;0;0;
parts=33;20;8;1;0;0;,33;22;8;1;0;0;,6;11;9;2;0;0;,27;14;4;1;0;0;
parts=28;13;10;1;0;0;,31;13;8;1;0;0;,25;16;11;1;0;0;,26;15;5;1;0;0;
parts=30;15;10;1;0;0;,22;17;11;1;0;0;,30;17;10;1;0;0;,3;13;9;1;0;0;
parts=3;14;8;1;0;0;,3;15;10;1;0;0;,3;16;5;1;0;0;,3;17;4;1;0;0;
parts=9;17;9;1;0;0;,6;10;9;2;0;0;,22;19;4;2;0;0;,22;20;4;2;0;0;
parts=22;21;4;2;0;0;,27;22;4;1;0;0;,18;22;4;1;0;0;,24;22;10;1;0;0;
parts=8;22;4;1;0;0;,3;22;10;1;0;0;,6;22;8;1;0;0;,1;6;11;1;0;0;0
parts=9;6;11;1;0;0;0,28;6;11;1;0;0;0,20;6;11;1;0;0;0,17;6;10;1;0;0;0




