[info]
title=Gearbots That Float
par=20
hint=Trap the flybots on the right to get the can on the left. Then trap them on the left and get the can on the right.


[background]
backdrop=bkg3
decals=451;88;window,375;224;door,373;168;sign_no_access,91;238;terminal_chart
decals=128;42;computer2dial,419;366;terminal_1dial,33;249;lite_number_1
decals=499;123;lite_number_2


[playfield]
size=35,22
spacing=15,18
scale=1


[partslist]
types=BLOCK01,BLOCK02,BRICK_08,BRICK_03,BRICK_02,HAZ_DUMBFLOAT
types=flag,BRICK_04,BRICK_06,MINIFIG
colors=GRAY,blue,green,YELLOW
parts=1;22;3;1;0;0;0,28;22;3;1;0;0;0,9;22;3;1;0;0;0,20;22;3;1;0;0;0
parts=17;22;4;1;0;0;0,7;16;5;2;0;0;0,7;17;5;2;0;0;0,7;18;5;2;0;0;0
parts=7;20;5;2;0;0;0,7;19;5;2;0;0;0,7;21;5;2;0;0;0,3;7;6;2;L;1;0
parts=21;12;6;2;L;1;0,31;14;5;2;0;0;0,31;13;5;2;0;0;0,31;12;5;2;0;0;0
parts=31;11;5;2;0;0;0,31;10;5;2;0;0;0,31;9;5;2;0;0;0,33;7;7;2;0;0;0
parts=5;15;8;2;0;0;0,1;15;8;2;0;0;0,2;14;7;2;0;0;0,9;15;3;3;0;0;0
parts=17;15;3;3;0;0;0,25;15;9;3;0;0;0,31;15;5;2;0;0;0,31;16;5;2;0;0;0
parts=31;18;5;2;0;0;0,31;17;5;2;0;0;0,31;19;5;2;0;0;0,31;20;5;2;0;0;0
parts=31;21;5;2;0;0;0,16;19;5;2;0;0;0,16;20;5;2;0;0;0,16;21;5;2;0;0;0
parts=16;17;5;2;0;0;0,16;18;5;2;0;0;0,16;16;5;2;0;0;0,28;8;3;3;0;0;0
parts=10;6;5;4;0;0;0,10;7;5;4;0;0;0,10;8;5;4;0;0;0,10;9;5;4;0;0;0
parts=10;11;5;4;0;0;0,10;10;5;4;0;0;0,10;12;5;4;0;0;0,10;13;5;4;0;0;0
parts=10;14;5;4;0;0;0,24;16;5;4;0;0;0,24;17;5;4;0;0;0,24;18;5;4;0;0;0
parts=24;19;5;4;0;0;0,24;20;5;4;0;0;0,24;21;5;4;0;0;0,11;21;10;2;WALK_R;1;0
parts=2;16;5;4;0;0;0,2;17;5;4;0;0;0,2;18;5;4;0;0;0,2;19;5;4;0;0;0
parts=2;20;5;4;0;0;0,2;21;5;4;0;0;0,5;4;3;3;0;0;0,10;5;5;4;0;0;0




