[info]
title=ELEMENTARY
par=5
hint=Make a bridge over the fire, and reuse the bricks over the lower drips to block the upper ones.



[background]
backdrop=bkg1
decals=467;67;A1_web,190;308;word_danger,387;308;word_danger,188;113;word_danger
bgdecals=500;304;A1_bkg_2,376;37;A1_bkg_1


[playfield]
size=35,22
spacing=15,18
scale=1


[partslist]
types=BLOCK01,BLOCK02,HAZ_SLICKFIRE,BRICK_06,HAZ_SLICKFAN,BRICK_03
types=BRICK_02,BRICK_08,HAZ_SLICKPIPE,BRICK_04,MINIFIG,flag
colors=GRAY,blue,white,red
parts=19;22;3;1;on;1;switch1,23;22;4;1;0;0;0,29;22;5;1;on;1;switch1
parts=33;22;6;1;0;0;0,1;21;7;1;0;0;0,1;20;7;1;0;0;0,1;19;7;1;0;0;0
parts=1;18;7;1;0;0;0,1;17;7;1;0;0;0,1;16;7;1;0;0;0,1;15;7;1;0;0;0
parts=1;14;7;1;0;0;0,1;13;7;1;0;0;0,1;12;7;1;0;0;0,1;11;7;1;0;0;0
parts=1;8;7;1;0;0;0,1;7;7;1;0;0;0,1;6;7;1;0;0;0,1;5;7;1;0;0;0
parts=1;4;7;1;0;0;0,1;3;7;1;0;0;0,1;2;7;1;0;0;0,1;1;8;1;0;0;0
parts=17;1;8;1;0;0;0,25;1;8;1;0;0;0,33;1;6;1;0;0;0,9;1;8;1;0;0;0
parts=14;3;9;1;DRY;1;0,12;3;9;1;DRY;1;0,10;3;9;1;DRY;1;0,34;21;7;1;0;0;0
parts=34;20;7;1;0;0;0,34;19;7;1;0;0;0,34;18;7;1;0;0;0,34;17;7;1;0;0;0
parts=34;16;7;1;0;0;0,34;15;7;1;0;0;0,34;14;7;1;0;0;0,34;13;7;1;0;0;0
parts=34;12;7;1;0;0;0,34;11;7;1;0;0;0,34;10;7;1;0;0;0,34;9;7;1;0;0;0
parts=34;7;7;1;0;0;0,34;8;7;1;0;0;0,34;6;7;1;0;0;0,34;5;7;1;0;0;0
parts=34;4;7;1;0;0;0,34;3;7;1;0;0;0,34;2;7;1;0;0;0,3;8;7;3;0;0;0
parts=3;7;7;3;0;0;0,15;22;10;1;0;0;0,11;22;3;1;on;1;switch1,15;21;7;2;0;0;0
parts=10;20;4;2;0;0;0,3;22;8;1;0;0;0,1;22;7;1;0;0;0,9;21;7;2;0;0;0
parts=4;21;11;1;WALK_R;1;0,6;21;7;3;0;0;0,6;20;7;3;0;0;0,6;19;7;3;0;0;0
parts=1;10;8;1;0;0;0,3;9;7;3;0;0;0,9;10;8;1;0;0;0,23;14;4;4;0;0;0
parts=22;13;7;4;0;0;0,21;12;7;4;0;0;0,20;11;7;4;0;0;0,17;10;8;1;0;0;0
parts=25;12;9;1;DRY;1;0,25;10;10;1;0;0;0,28;9;4;3;0;0;0,1;9;7;1;0;0;0
parts=7;9;12;1;None;0;0


