[info]
title=laser wire
par=19
hint=Build down to one of the cans on the sides, and then work your way across.


[background]
backdrop=bkg1
decals=286;51;A1_vent,507;280;door,40;279;door
bgdecals=190;301;A1_bkg_2,462;220;A1_bkg_3,58;357;A1_bkg_1


[playfield]
size=35,22
spacing=15,18
scale=1


[partslist]
types=BLOCK01,BLOCK02,BRICK_08,BRICK_03,HAZ_SLICKLASER_L,haz_slickLaser_R
types=BRICK_04,flag,MINIFIG,HAZ_DUMBFLOAT,BRICK_06,BRICK_02
colors=GRAY,blue,white,YELLOW
parts=1;22;3;1;0;0;0,9;22;3;1;0;0;0,17;22;3;1;0;0;0,25;22;3;1;0;0;0
parts=33;22;4;1;0;0;0,1;21;5;1;on;1;0,1;20;5;1;on;1;0,34;21;6;1;on;1;0
parts=34;20;6;1;on;1;0,34;19;6;1;on;1;0,1;19;5;1;on;1;0,32;18;7;1;0;0;0
parts=1;18;7;1;0;0;0,1;17;8;1;None;0;0,34;17;8;1;None;0;0,28;1;3;1;0;0;0
parts=19;4;9;3;WALK_R;1;0,1;9;10;1;L;1;0,34;9;10;1;L;1;0,1;1;3;1;0;0;0
parts=30;2;11;4;0;0;0,1;2;11;4;0;0;0,3;3;7;4;0;0;0,1;3;12;4;0;0;0
parts=30;3;7;4;0;0;0,34;3;12;4;0;0;0,1;4;4;4;0;0;0,4;4;4;4;0;0;0
parts=33;4;4;4;0;0;0,30;4;4;4;0;0;0,30;5;12;4;0;0;0,5;5;12;4;0;0;0
parts=1;5;7;4;0;0;0,32;5;7;4;0;0;0,26;2;7;4;0;0;0,7;2;7;4;0;0;0
parts=9;1;7;4;0;0;0,24;1;7;4;0;0;0,24;2;12;4;0;0;0,11;2;12;4;0;0;0
parts=7;3;4;4;0;0;0,10;3;4;4;0;0;0,7;4;12;4;0;0;0,11;4;12;4;0;0;0
parts=9;4;12;4;0;0;0,27;3;4;4;0;0;0,24;3;4;4;0;0;0,28;4;12;4;0;0;0
parts=26;4;12;4;0;0;0,24;4;12;4;0;0;0,18;12;4;1;0;0;0,18;5;4;1;0;0;0
parts=6;21;6;1;on;1;0,7;20;6;1;on;1;0,8;19;6;1;on;1;0,10;19;5;1;on;1;0
parts=11;20;5;1;on;1;0,12;21;5;1;on;1;0,15;21;6;1;on;1;0,16;20;6;1;on;1;0
parts=17;19;6;1;on;1;0,19;19;5;1;on;1;0,20;20;5;1;on;1;0,21;21;5;1;on;1;0
parts=30;21;5;1;on;1;0,29;20;5;1;on;1;0,28;19;5;1;on;1;0,26;19;6;1;on;1;0
parts=25;20;6;1;on;1;0,24;21;6;1;on;1;0,18;11;8;1;None;0;0


