[info]
title=Push comes to shove
par=15
hint=


[background]
backdrop=bkg1
decals=425;43;sign_keepout,31;78;fusebox,30;204;fusebox,425;117;door
bgdecals=349;208;A1_bkg_4,519;301;A1_bkg_2


[playfield]
size=35,22
spacing=15,18
scale=1


[partslist]
types=BLOCK01,BLOCK02,HAZ_SLICKCRATE,BRICK_03,BRICK_02,BRICK_08
types=BRICK_04,flag,MINIFIG,BRICK_01
colors=GRAY,blue,green,YELLOW,red
parts=13;19;3;1;norm;0;0,13;17;3;1;norm;0;0,13;15;3;1;norm;0;0
parts=13;13;3;1;norm;0;0,20;21;4;1;0;0;0,25;21;4;1;0;0;0,23;21;5;1;0;0;0
parts=17;21;4;1;0;0;0,28;21;6;1;0;0;0,9;21;6;1;0;0;0,1;21;6;1;0;0;0
parts=5;22;6;1;0;0;0,13;22;6;1;0;0;0,21;22;6;1;0;0;0,29;22;7;1;0;0;0
parts=1;22;7;1;0;0;0,33;22;4;1;0;0;0,13;11;3;1;norm;0;0,13;9;3;1;norm;0;0
parts=13;7;3;1;norm;0;0,13;5;3;1;norm;0;0,13;20;4;3;0;0;0,10;20;4;3;0;0;0
parts=7;20;4;3;0;0;0,4;20;4;3;0;0;0,16;20;4;3;0;0;0,19;20;4;3;0;0;0
parts=22;20;4;3;0;0;0,25;20;4;3;0;0;0,28;20;4;3;0;0;0,31;20;4;3;0;0;0
parts=34;20;5;3;0;0;0,11;19;5;4;0;0;0,11;18;5;4;0;0;0,11;17;5;4;0;0;0
parts=16;19;5;4;0;0;0,16;18;5;4;0;0;0,16;17;5;4;0;0;0,1;15;4;1;0;0;0
parts=1;14;8;1;None;0;0,5;19;9;1;WALK_R;1;0,1;16;4;1;0;0;0,1;17;4;1;0;0;0
parts=1;18;4;1;0;0;0,1;19;4;1;0;0;0,1;20;4;1;0;0;0,31;19;8;4;None;0;0
parts=25;9;6;1;0;0;0,26;10;10;1;0;0;0,31;10;10;1;0;0;0,26;8;5;5;0;0;0
parts=27;7;5;5;0;0;0,29;7;5;5;0;0;0,26;4;5;5;0;0;0,27;5;5;5;0;0;0
parts=29;5;5;5;0;0;0,30;4;5;5;0;0;0,1;8;4;1;0;0;0,1;7;8;1;None;0;0
parts=30;6;5;5;0;0;0,28;4;5;5;0;0;0,26;6;5;5;0;0;0,30;8;5;5;0;0;0
parts=28;6;5;5;0;0;0,26;5;10;5;0;0;0,26;7;10;5;0;0;0,31;7;10;5;0;0;0
parts=31;5;10;5;0;0;0,28;8;5;5;0;0;0


