[info]
title=Construction Supplies
par=35
hint=Scare the can off the central platform and use that column to build over the climbots.


[background]
backdrop=bkg4
decals=122;85;A4_panel_6,365;253;A4_panel_3,410;253;A4_panel_3
decals=41;181;A4_panel_sm
bgdecals=


[playfield]
size=35,22
spacing=15,18
scale=1


[partslist]
types=BLOCK01,BLOCK02,BRICK_04,BRICK_08,BRICK_01,MINIFIG,BRICK_03
types=BRICK_02,SCAREDY,flag,HAZ_CLIMBER
colors=GRAY,blue,white,YELLOW,green,red
parts=32;20;3;3;0;0;0,28;21;4;4;0;0;0,23;20;5;4;0;0;0,20;21;4;5;0;0;0
parts=13;20;5;4;0;0;0,2;12;6;4;WALK_R;1;0,1;13;7;3;0;0;0,1;14;8;2;0;0;0
parts=1;15;8;6;0;0;0,1;16;8;5;0;0;0,1;17;8;4;0;0;0,1;18;8;5;0;0;0
parts=1;19;8;2;0;0;0,1;20;3;3;0;0;0,1;21;4;4;0;0;0,9;21;4;5;0;0;0
parts=18;19;5;6;0;0;0,18;20;5;5;0;0;0,17;21;7;2;0;0;0,1;22;4;1;0;0;0
parts=9;22;5;1;0;0;0,27;22;5;1;0;0;0,19;22;4;1;0;0;0,10;22;4;1;0;0;0
parts=18;22;5;1;0;0;0,34;19;8;2;0;0;0,34;18;8;5;0;0;0,34;17;8;4;0;0;0
parts=34;16;8;5;0;0;0,34;15;8;6;0;0;0,34;14;8;2;0;0;0,24;20;8;6;0;0;0
parts=30;20;8;2;0;0;0,5;20;8;2;0;0;0,11;20;8;6;0;0;0,17;19;5;2;0;0;0
parts=19;19;5;2;0;0;0,17;10;7;3;0;0;0,18;9;9;1;REST;1;0,17;11;7;5;0;0;0
parts=17;12;7;2;0;0;0,17;13;7;6;0;0;0,17;14;7;4;0;0;0,17;15;7;3;0;0;0
parts=17;16;7;5;0;0;0,17;17;7;2;0;0;0,17;18;7;4;0;0;0,34;8;8;2;0;0;0
parts=34;7;8;4;0;0;0,34;6;8;5;0;0;0,34;5;8;6;0;0;0,34;13;8;3;0;0;0
parts=34;12;8;4;0;0;0,34;11;8;5;0;0;0,34;10;8;6;0;0;0,34;9;8;3;0;0;0
parts=34;4;10;3;None;0;0,28;22;4;1;0;0;0,32;19;8;6;0;0;0,3;19;8;6;0;0;0
parts=3;18;5;3;0;0;0,33;18;5;3;0;0;0,14;16;11;3;WALK_R;1;0,15;17;8;6;0;0;0
parts=14;18;7;5;0;0;0,20;17;8;6;0;0;0,20;18;7;5;0;0;0,14;20;3;6;0;0;0
parts=19;20;3;6;0;0;0,13;19;3;3;0;0;0,20;19;3;3;0;0;0,27;20;11;3;WALK_R;1;0


