[info]
title=the heist
par=10
hint=Block the flybots on both sides first and then build an umbrella for the drips.


[background]
backdrop=bkg1
decals=275;178;sign_keepout,270;330;A1_vent
bgdecals=78;182;A1_bkg_2,34;60;A1_bkg_3,472;397;A1_bkg_1


[playfield]
size=35,22
spacing=15,18
scale=1


[partslist]
types=BLOCK01,BLOCK02,HAZ_SLICKPIPE,HAZ_SLICKLASER_L,haz_slickLaser_R
types=BRICK_08,HAZ_SLICKFAN,BRICK_06,BRICK_03,BRICK_01,MINIFIG
types=flag,BRICK_04,BRICK_02,HAZ_DUMBFLOAT
colors=GRAY,blue,green,YELLOW
parts=16;2;3;1;DRY;1;0,18;2;3;1;DRY;1;0,17;3;3;1;DRY;1;0,15;3;3;1;DRY;1;0
parts=19;3;3;1;DRY;1;0,16;4;3;1;DRY;1;0,18;4;3;1;DRY;1;0,1;12;4;1;on;1;0
parts=34;12;5;1;on;1;0,1;14;6;1;0;0;0,28;14;6;1;0;0;0,10;22;7;1;on;1;switch1
parts=9;14;8;3;0;0;0,22;14;8;3;0;0;0,23;22;7;1;on;1;switch1,15;14;9;1;0;0;0
parts=19;14;9;1;0;0;0,18;14;10;1;0;0;0,4;15;8;1;0;0;0,27;15;8;1;0;0;0
parts=1;15;9;1;0;0;0,33;15;9;1;0;0;0,14;15;9;1;0;0;0,20;15;9;1;0;0;0
parts=17;15;9;1;0;0;0,1;22;10;1;0;0;0,2;22;10;1;0;0;0,3;22;10;1;0;0;0
parts=4;22;10;1;0;0;0,5;22;10;1;0;0;0,6;22;10;1;0;0;0,7;22;10;1;0;0;0
parts=8;22;10;1;0;0;0,9;22;10;1;0;0;0,14;22;10;1;0;0;0,15;22;10;1;0;0;0
parts=16;22;10;1;0;0;0,17;22;10;1;0;0;0,19;22;10;1;0;0;0,18;22;10;1;0;0;0
parts=20;22;10;1;0;0;0,21;22;10;1;0;0;0,22;22;10;1;0;0;0,27;22;10;1;0;0;0
parts=28;22;10;1;0;0;0,29;22;10;1;0;0;0,30;22;10;1;0;0;0,31;22;10;1;0;0;0
parts=32;22;10;1;0;0;0,33;22;10;1;0;0;0,34;22;10;1;0;0;0,35;22;10;1;0;0;0
parts=18;21;11;1;WALK_R;1;0,18;13;12;1;None;0;0,1;13;10;1;0;0;0
parts=35;13;10;1;0;0;0,1;11;10;1;0;0;0,35;11;10;1;0;0;0,15;21;10;4;0;0;0
parts=15;20;10;4;0;0;0,21;21;10;4;0;0;0,21;20;10;4;0;0;0,2;21;8;4;0;0;0
parts=28;21;13;4;0;0;0,32;21;14;4;0;0;0,14;10;15;4;L;1;0,10;11;15;4;L;1;0
parts=23;10;15;4;L;1;0,26;11;15;4;L;1;0,15;19;10;4;0;0;0,21;19;10;4;0;0;0
parts=2;20;8;4;0;0;0,28;20;13;4;0;0;0,32;20;14;4;0;0;0,20;4;3;4;DRY;1;0
parts=20;2;3;4;DRY;1;0,21;3;3;4;DRY;1;0


